                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.58777,                0.49134,                 1.0565,                0.96398,                0.83652,                0.93029,                0.74739,                0.71066,                0.54788,                 1.2035,              0.0003368,              0.0003368,              0.0003368
                     86,                0.57967,                 0.4898,                 1.0437,                0.96422,                0.84221,                0.92587,                0.76559,                0.67692,                0.52168,                 1.1794,               0.000317,               0.000317,               0.000317
                     87,                0.55184,                0.46544,                 1.0428,                      1,                 0.8397,                0.92601,                0.75928,                0.70005,                0.52985,                 1.2021,              0.0002972,              0.0002972,              0.0002972
                     88,                0.54328,                0.46088,                 1.0325,                      1,                0.89998,                0.93261,                0.77769,                0.72117,                0.53254,                 1.2064,              0.0002774,              0.0002774,              0.0002774
                     89,                0.55033,                0.46463,                  1.037,                      1,                0.89961,                0.93281,                0.78702,                0.70639,                0.51293,                 1.1916,              0.0002576,              0.0002576,              0.0002576
                     90,                0.52499,                0.43546,                 1.0169,                 0.9349,                0.89783,                0.93245,                0.79585,                0.69479,                0.47296,                 1.1853,              0.0002378,              0.0002378,              0.0002378
                     91,                0.52286,                0.44133,                 1.0342,                0.87106,                 0.9375,                0.92697,                0.77791,                0.70293,                0.48734,                  1.189,               0.000218,               0.000218,               0.000218
                     92,                0.52568,                0.44411,                 1.0239,                0.85686,                0.93541,                 0.9269,                0.78297,                0.69993,                0.47903,                  1.171,              0.0001982,              0.0001982,              0.0001982
                     93,                0.51986,                0.46292,                 1.0376,                0.90321,                0.90625,                0.92671,                0.79236,                0.68563,                0.46241,                 1.1611,              0.0001784,              0.0001784,              0.0001784
                     94,                0.53375,                0.44699,                 1.0307,                0.93545,                 0.9058,                0.92885,                0.79888,                 0.6724,                0.45894,                 1.1634,              0.0001586,              0.0001586,              0.0001586
                     95,                0.49583,                 0.4233,                 1.0026,                0.93544,                0.90557,                0.92861,                0.78814,                0.68114,                0.45406,                 1.1716,              0.0001388,              0.0001388,              0.0001388
                     96,                0.50339,                0.41419,                0.99865,                0.93072,                0.90625,                0.93292,                0.78518,                 0.6961,                0.47625,                  1.178,               0.000119,               0.000119,               0.000119
                     97,                0.50609,                0.42479,                 1.0172,                0.92535,                0.90625,                0.93139,                0.77732,                0.70312,                0.49027,                 1.1852,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.49628,                0.42079,                 1.0057,                0.93515,                0.90135,                0.93181,                0.78683,                0.69427,                0.49256,                 1.1899,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.49995,                0.41239,                 1.0013,                 0.9032,                0.90625,                0.93127,                 0.7823,                0.69102,                 0.4915,                 1.1977,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.49572,                0.41283,                 1.0131,                0.90329,                0.90625,                0.92765,                0.78205,                0.69407,                0.48395,                 1.2063,               3.98e-05,               3.98e-05,               3.98e-05
